time,loc,vehicle,fare,disc,drivers
21:00:11,1,2 Wheeler,59,5.0,8
21:00:11,1,3 Wheeler,327,0.0,8
21:00:11,1,Tata Ace,512,0.0,8
21:00:11,1,Eeco,422,0.0,8
21:00:11,1,Pickup 8ft,702,0.0,7
21:00:11,1,E Loader,247,0.0,2
21:00:11,1,10ft,1153,0.0,8
21:00:11,1,14ft (Closed),2363,0.0,3
21:00:11,1,14ft,2440,0.0,3
21:00:11,1,14ft (Open),2440,0.0,0
21:00:11,1,17ft,3103,0.0,1
21:00:11,1,19ft,3683,0.0,0
21:00:24,2,2 Wheeler,58,5.0,8
21:00:24,2,3 Wheeler,344,0.0,8
21:00:24,2,Tata Ace,569,0.0,8
21:00:24,2,Eeco,429,0.0,8
21:00:24,2,Pickup 8ft,709,0.0,8
21:00:24,2,E Loader,254,0.0,8
21:00:24,2,10ft,1164,0.0,8
21:00:24,2,14ft (Closed),2370,0.0,7
21:00:24,2,14ft,2448,0.0,8
21:00:24,2,14ft (Open),2448,0.0,3
21:00:24,2,17ft,3114,0.0,4
21:00:24,2,19ft,3694,0.0,0
21:00:40,3,2 Wheeler,86,7.0,8
21:00:40,3,3 Wheeler,423,0.0,8
21:00:40,3,Tata Ace,608,0.0,6
21:00:40,3,Eeco,518,0.0,5
21:00:40,3,Pickup 8ft,798,0.0,5
21:00:40,3,E Loader,243,0.0,3
21:00:40,3,10ft,2497,0.0,5
21:00:40,3,14ft (Closed),3858,0.0,6
21:00:40,3,14ft,3935,0.0,8
21:00:40,3,14ft (Open),3935,0.0,4
21:00:40,3,17ft,4597,0.0,4
21:00:40,3,19ft,3677,0.0,0
21:00:53,4,2 Wheeler,64,5.0,8
21:00:53,4,3 Wheeler,352,0.0,8
21:00:53,4,Tata Ace,577,0.0,8
21:00:53,4,Eeco,437,0.0,4
21:00:53,4,Pickup 8ft,717,0.0,8
21:00:53,4,E Loader,262,0.0,8
21:00:53,4,10ft,1177,0.0,8
21:00:53,4,14ft (Closed),2381,0.0,3
21:00:53,4,14ft,2459,0.0,8
21:00:53,4,14ft (Open),2459,0.0,7
21:00:53,4,17ft,3127,0.0,3
21:00:53,4,19ft,3707,0.0,1
21:01:06,5,2 Wheeler,60,5.0,8
21:01:06,5,3 Wheeler,350,0.0,8
21:01:06,5,Tata Ace,575,0.0,8
21:01:06,5,Eeco,435,0.0,5
21:01:06,5,Pickup 8ft,715,0.0,8
21:01:06,5,E Loader,260,0.0,4
21:01:06,5,10ft,1175,0.0,3
21:01:06,5,14ft (Closed),2378,0.0,3
21:01:06,5,14ft,2457,0.0,8
21:01:06,5,14ft (Open),2457,0.0,7
21:01:06,5,17ft,3125,0.0,3
21:01:06,5,19ft,3705,0.0,1
21:01:21,6,2 Wheeler,62,5.0,8
21:01:21,6,3 Wheeler,341,0.0,8
21:01:21,6,Tata Ace,566,0.0,8
21:01:21,6,Eeco,426,0.0,8
21:01:21,6,Pickup 8ft,706,0.0,8
21:01:21,6,E Loader,251,0.0,8
21:01:21,6,10ft,1160,0.0,8
